epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
69,4479,,,,,,,,,,,,,,,1.8000544309616089,0.0,1.782304286956787,1.3111906051635742,0.8846621513366699,0.8644101619720459,1.1390737295150757
69,4479,,,,,,,,1.809988260269165,0.0,1.8037478923797607,1.0347737073898315,0.8031374216079712,0.8998037576675415,1.0120627880096436,,,,,,,
70,4543,,,,,,,,,,,,,,,1.8204172849655151,0.0,1.8224362134933472,1.048438549041748,0.7934237718582153,0.8910880088806152,1.018513560295105
70,4543,,,,,,,,1.8309251070022583,0.0,1.78082275390625,1.0518018007278442,0.8124909400939941,0.8983219861984253,1.0216537714004517,,,,,,,
71,4607,,,,,,,,,,,,,,,1.8204329013824463,0.0,1.8144062757492065,1.192733883857727,0.8455502390861511,0.8765548467636108,1.0864373445510864
71,4607,,,,,,,,1.830666184425354,0.0,1.7985059022903442,1.04509437084198,0.806245744228363,0.8989018797874451,1.0151846408843994,,,,,,,
72,4671,,,,,,,,,,,,,,,1.8493690490722656,0.0,1.8276714086532593,1.012414574623108,0.7892758846282959,0.8939401507377625,1.0009865760803223
72,4671,,,,,,,,1.8389039039611816,0.0,1.7891716957092285,1.0823423862457275,0.8183959126472473,0.8963130712509155,1.033860206604004,,,,,,,
73,4735,,,,,,,,,,,,,,,1.838253378868103,0.0,1.8101577758789062,1.054630160331726,0.8098354935646057,0.8891271352767944,1.021188735961914
73,4735,,,,,,,,1.8378043174743652,0.0,1.827525019645691,1.0381263494491577,0.8074038624763489,0.8998322486877441,1.0128079652786255,,,,,,,
74,4799,,,,,,,,,,,,,,,1.8131145238876343,0.0,1.7925822734832764,1.0568901300430298,0.8070569634437561,0.8885122537612915,1.0234304666519165
74,4799,,,,,,,,1.821992039680481,0.0,1.8013825416564941,1.0367035865783691,0.8027849793434143,0.8980404138565063,1.011162281036377,,,,,,,
75,4863,,,,,,,,,,,,,,,1.8310363292694092,0.0,1.8093044757843018,1.0098124742507935,0.7868080735206604,0.8939127326011658,0.9996800422668457
75,4863,,,,,,,,1.8306756019592285,0.0,1.7921828031539917,1.038147211074829,0.8051856756210327,0.9006889462471008,1.01438570022583,,,,,,,
76,4927,,,,,,,,,,,,,,,1.8376463651657104,0.0,1.7992095947265625,1.0424747467041016,0.8012943863868713,0.8907222151756287,1.0149564743041992
76,4927,,,,,,,,1.825724482536316,0.0,1.8090628385543823,1.0379492044448853,0.8066247701644897,0.9014755487442017,1.014223575592041,,,,,,,
77,4991,,,,,,,,,,,,,,,1.8364022970199585,0.0,1.7999552488327026,1.0554896593093872,0.8118069171905518,0.8885228633880615,1.0216188430786133
77,4991,,,,,,,,1.8240227699279785,0.0,1.8078612089157104,1.0524835586547852,0.8100647926330566,0.8985746502876282,1.0203975439071655,,,,,,,
78,5055,,,,,,,,,,,,,,,1.8111708164215088,0.0,1.8064881563186646,1.039330244064331,0.8032408952713013,0.8901928663253784,1.01482355594635
78,5055,,,,,,,,1.813026785850525,0.0,1.7999355792999268,1.0144001245498657,0.7963474988937378,0.9023115634918213,1.0022553205490112,,,,,,,
79,5119,,,,,,,,,,,,,,,1.825564980506897,0.0,1.8315778970718384,1.0519979000091553,0.8087623119354248,0.8885974884033203,1.0206772089004517
